City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,79.75,75,94,15.37,light rain
1,Turbat,PK,26.0023,63.044,99.68,18,67,9.42,broken clouds
2,Inta,RU,66.0317,60.1659,31.12,88,98,6.85,overcast clouds
3,Hobart,AU,-42.8794,147.3294,57.2,67,75,5.75,light rain
4,Saint George,US,37.1041,-113.5841,53.6,50,1,10.36,clear sky
5,Vaini,TO,-21.2,-175.2,73.4,94,75,9.22,broken clouds
6,High Rock,BS,26.6208,-78.2833,64.4,88,20,5.75,few clouds
7,Tigil,RU,57.8,158.6667,29.71,93,70,7.09,broken clouds
8,Saskylakh,RU,71.9167,114.0833,33.57,86,80,7.67,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,76.33,73,71,9.95,light rain
10,Norman Wells,CA,65.282,-126.8329,24.8,50,75,8.05,broken clouds
11,Qaanaaq,GL,77.484,-69.3632,24.91,76,94,8.32,overcast clouds
12,Albany,US,42.6001,-73.9662,51.01,67,96,2.66,overcast clouds
13,Kapaa,US,22.0752,-159.319,69.8,94,75,4.61,broken clouds
14,Lastoursville,GA,-0.8143,12.7287,73.4,94,75,1.45,fog
15,Butaritari,KI,3.0707,172.7902,82.35,77,16,9.01,moderate rain
16,Hilo,US,19.7297,-155.09,77.0,69,90,4.61,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,41.0,75,40,6.91,scattered clouds
18,Cape Town,ZA,-33.9258,18.4232,62.01,77,20,13.8,few clouds
19,Iqaluit,CA,63.7506,-68.5145,24.8,80,90,5.75,overcast clouds
20,Brae,GB,60.3964,-1.353,42.8,75,20,10.36,few clouds
21,Dikson,RU,73.5069,80.5464,32.23,91,100,16.17,overcast clouds
22,Yellowknife,CA,62.456,-114.3525,19.4,58,75,8.05,broken clouds
23,Busselton,AU,-33.65,115.3333,77.0,57,11,1.01,few clouds
24,New Norfolk,AU,-42.7826,147.0587,57.0,78,100,2.98,overcast clouds
25,Opuwo,NA,-18.0607,13.84,77.32,32,0,4.97,clear sky
26,Meulaboh,ID,4.1363,96.1285,85.01,71,100,6.8,overcast clouds
27,Trincomalee,LK,8.5711,81.2335,86.25,67,67,13.69,broken clouds
28,Longyearbyen,SJ,78.2186,15.6401,21.2,58,75,9.22,broken clouds
29,Yining,CN,29.0361,114.5636,67.15,81,100,0.18,overcast clouds
30,Severo-Kurilsk,RU,50.6789,156.125,34.07,91,93,14.27,overcast clouds
31,Kingsville,US,27.5159,-97.8561,78.8,83,90,16.11,overcast clouds
32,Bredasdorp,ZA,-34.5322,20.0403,55.4,88,2,1.14,clear sky
33,Poum,NC,-20.2333,164.0167,76.15,57,36,20.65,scattered clouds
34,Matamoros,MX,25.5333,-103.25,79.0,29,100,4.0,overcast clouds
35,Pisco,PE,-13.7,-76.2167,64.4,94,90,4.61,overcast clouds
36,Ilulissat,GL,69.2167,-51.1,30.2,80,100,5.14,overcast clouds
37,Cidreira,BR,-30.1811,-50.2056,57.27,85,59,11.61,broken clouds
38,Jamestown,US,42.097,-79.2353,64.0,55,1,9.22,clear sky
39,Port Macquarie,AU,-31.4333,152.9167,63.0,84,100,5.32,overcast clouds
40,Geraldton,AU,-28.7667,114.6,84.2,30,4,12.66,clear sky
41,Rio Brilhante,BR,-21.8019,-54.5464,53.29,62,0,4.29,clear sky
42,Saint-Philippe,RE,-21.3585,55.7679,86.0,66,100,8.05,light rain
43,Souillac,MU,-20.5167,57.5167,78.8,89,75,18.41,moderate rain
44,Margate,GB,51.3813,1.3862,50.0,72,100,1.01,overcast clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,72.77,76,7,4.79,clear sky
46,Havoysund,NO,70.9963,24.6622,28.4,74,90,8.05,light snow
47,Meiganga,CM,6.5167,14.3,82.33,49,100,3.65,overcast clouds
48,Alofi,NU,-19.0595,-169.9187,78.8,100,100,9.22,light rain
49,Batemans Bay,AU,-35.7167,150.1833,66.99,77,100,4.47,overcast clouds
50,Rio Grande,BR,-32.035,-52.0986,45.0,98,15,11.72,few clouds
51,Fairbanks,US,64.8378,-147.7164,37.4,48,1,3.44,clear sky
52,Mar Del Plata,AR,-38.0023,-57.5575,57.99,87,0,6.91,clear sky
53,Perth,AU,-31.9333,115.8333,84.2,32,96,10.36,smoke
54,Sept-Iles,CA,50.2001,-66.3821,43.0,75,100,5.75,overcast clouds
55,Hithadhoo,MV,-0.6,73.0833,83.16,64,26,2.21,scattered clouds
56,Palmer,US,42.1584,-72.3287,48.2,87,90,2.48,overcast clouds
57,Bambous Virieux,MU,-20.3428,57.7575,78.8,89,75,18.41,moderate rain
58,Jieshi,CN,22.8134,115.8257,77.99,75,56,8.52,broken clouds
59,Barrow,US,71.2906,-156.7887,19.4,86,90,3.44,overcast clouds
60,Mahebourg,MU,-20.4081,57.7,78.8,89,75,18.41,moderate rain
61,Laguna,US,38.421,-121.4238,59.0,58,1,3.44,clear sky
62,Khatanga,RU,71.9667,102.5,32.79,99,57,6.49,broken clouds
63,Nemuro,JP,43.3236,145.575,59.0,29,0,10.36,clear sky
64,Port Alfred,ZA,-33.5906,26.891,68.61,66,100,6.38,overcast clouds
65,Carnarvon,AU,-24.8667,113.6333,84.2,51,0,13.8,clear sky
66,Soubre,CI,5.7856,-6.6083,77.99,88,100,2.35,overcast clouds
67,Chokurdakh,RU,70.6333,147.9167,24.06,93,100,11.36,overcast clouds
68,Hamilton,US,39.1834,-84.5333,70.0,52,75,10.36,broken clouds
69,Inyonga,TZ,-6.7167,32.0667,74.37,71,39,7.23,scattered clouds
70,Alice Springs,AU,-23.7,133.8833,75.2,20,0,9.22,clear sky
71,Punta Arenas,CL,-53.15,-70.9167,39.2,93,40,4.61,scattered clouds
72,Saint Anthony,US,45.0205,-93.218,41.0,87,1,4.61,clear sky
73,Port Elizabeth,ZA,-33.918,25.5701,66.2,77,20,1.14,few clouds
74,Provideniya,RU,64.3833,-173.3,31.44,89,49,8.5,scattered clouds
75,Kortkeros,RU,61.8106,51.5806,41.0,87,90,4.47,overcast clouds
76,Bluff,NZ,-46.6,168.3333,54.0,90,98,7.0,overcast clouds
77,Castro,BR,-24.7911,-50.0119,56.12,87,99,6.4,overcast clouds
78,Buala,SB,-8.145,159.5921,77.14,86,100,7.9,moderate rain
79,Nome,US,64.5011,-165.4064,30.2,93,75,6.91,broken clouds
80,Vanimo,PG,-2.6741,141.3028,82.29,76,20,4.88,few clouds
81,Olinda,BR,-8.0089,-34.8553,73.4,88,75,3.44,broken clouds
82,Luderitz,NA,-26.6481,15.1594,66.88,61,1,8.95,clear sky
83,Mount Gambier,AU,-37.8333,140.7667,59.0,77,40,5.75,dust
84,Hasaki,JP,35.7333,140.8333,70.0,56,75,13.8,broken clouds
85,Mayumba,GA,-3.432,10.6554,79.72,85,100,4.34,overcast clouds
86,Ust-Kuyga,RU,70.0167,135.6,23.13,79,77,6.62,broken clouds
